iso3,country_name,year,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded
#country+code,#country+name,#date+year,#affected+idps+ind+new+conflict,,#affected+idps+ind+total+conflict,
PSE,State of Palestine,2011,1100,1100,160000,160000
PSE,State of Palestine,2012,12000,12000,144500,144000
PSE,State of Palestine,2013,1100,1100,146000,146000
PSE,State of Palestine,2014,501000,501000,275000,275000
PSE,State of Palestine,2015,741,740,221425,221000
PSE,State of Palestine,2016,1601,1600,193277,193000
PSE,State of Palestine,2017,700,700,231473,231000
PSE,State of Palestine,2018,490,490,237556,238000
PSE,State of Palestine,2019,1516,1500,243355,243000
PSE,State of Palestine,2020,1001,1000,131082,131000
PSE,State of Palestine,2021,118211,118000,11711,12000
PSE,State of Palestine,2022,1794,1800,11796,12000
PSE,State of Palestine,2023,3438318,3438000,1709906,1710000
