"","year","origin","asylum","population_type","population"
"1","2019","Palestinian","State of Palestine","female_0-4",115683
"2","2019","Palestinian","State of Palestine","female_5-11",139189
"3","2019","Palestinian","State of Palestine","female_12-17",145473
"4","2019","Palestinian","State of Palestine","female_18-59",620567
"5","2019","Palestinian","State of Palestine","female_60",124911
"6","2019","Palestinian","State of Palestine","female_total",1145823
"7","2019","Palestinian","State of Palestine","male_0-4",122855
"8","2019","Palestinian","State of Palestine","male_5-11",145568
"9","2019","Palestinian","State of Palestine","male_12-17",151765
"10","2019","Palestinian","State of Palestine","male_18-59",644803
"11","2019","Palestinian","State of Palestine","male_60",108259
"12","2019","Palestinian","State of Palestine","male_total",1173250
"13","2019","Palestinian","State of Palestine","total",2319073
"14","2019","Palestinian","State of Palestine","f_minor_all",400345
"15","2019","Palestinian","State of Palestine","m_minor_all",420188
"16","2019","Palestinian","Jordan","female_0-4",47592
"17","2019","Palestinian","Jordan","female_5-11",126915
"18","2019","Palestinian","Jordan","female_12-17",144368
"19","2019","Palestinian","Jordan","female_18-59",640378
"20","2019","Palestinian","Jordan","female_60",150618
"21","2019","Palestinian","Jordan","female_total",1109871
"22","2019","Palestinian","Jordan","male_0-4",51021
"23","2019","Palestinian","Jordan","male_5-11",132957
"24","2019","Palestinian","Jordan","male_12-17",149778
"25","2019","Palestinian","Jordan","male_18-59",673520
"26","2019","Palestinian","Jordan","male_60",155264
"27","2019","Palestinian","Jordan","male_total",1162540
"28","2019","Palestinian","Jordan","total",2272411
"29","2019","Palestinian","Jordan","f_minor_all",318875
"30","2019","Palestinian","Jordan","m_minor_all",333756
"31","2019","Palestinian","Lebanon","female_0-4",12309
"32","2019","Palestinian","Lebanon","female_5-11",18911
"33","2019","Palestinian","Lebanon","female_12-17",24259
"34","2019","Palestinian","Lebanon","female_18-59",137889
"35","2019","Palestinian","Lebanon","female_60",41404
"36","2019","Palestinian","Lebanon","female_total",234772
"37","2019","Palestinian","Lebanon","male_0-4",13048
"38","2019","Palestinian","Lebanon","male_5-11",19420
"39","2019","Palestinian","Lebanon","male_12-17",25207
"40","2019","Palestinian","Lebanon","male_18-59",143734
"41","2019","Palestinian","Lebanon","male_60",39852
"42","2019","Palestinian","Lebanon","male_total",241261
"43","2019","Palestinian","Lebanon","total",476033
"44","2019","Palestinian","Lebanon","f_minor_all",55479
"45","2019","Palestinian","Lebanon","m_minor_all",57675
"46","2019","Palestinian","Syrian Arab Rep.","female_0-4",20520
