origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code+origin,#meta+has_hrp+origin,#meta+in_gho+origin,#country+code+asylum,#meta+has_hrp+asylum,#meta+in_gho+asylum,#population_group+code,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
PSE,False,True,ALB,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,f,12-17,12,17,5,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,f,all,None,None,5,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,m,all,None,None,0,2020-01-01,2020-12-31
PSE,False,True,ALB,False,False,REF,all,all,None,None,5,2020-01-01,2020-12-31
PSE,False,True,ARE,False,False,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
PSE,False,True,ARE,False,False,OOC,f,5-11,5,11,7,2020-01-01,2020-12-31
PSE,False,True,ARE,False,False,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
PSE,False,True,ARE,False,False,OOC,f,18-59,18,59,0,2020-01-01,2020-12-31
PSE,False,True,ARE,False,False,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
PSE,False,True,ARE,False,False,OOC,f,all,None,None,7,2020-01-01,2020-12-31
