"","year","origin","asylum","population_type","population","gender","age"
"1","2019","Palestinian","State of Palestine","female_0-4",115683,"female","0-4"
"2","2019","Palestinian","State of Palestine","female_5-11",139189,"female","5-11"
"3","2019","Palestinian","State of Palestine","female_12-17",145473,"female","12-17"
"4","2019","Palestinian","State of Palestine","female_18-59",620567,"female","18-59"
"5","2019","Palestinian","State of Palestine","female_60",124911,"female","60"
"6","2019","Palestinian","State of Palestine","female_total",1145823,"female","total"
"7","2019","Palestinian","State of Palestine","male_0-4",122855,"male","0-4"
"8","2019","Palestinian","State of Palestine","male_5-11",145568,"male","5-11"
"9","2019","Palestinian","State of Palestine","male_12-17",151765,"male","12-17"
"10","2019","Palestinian","State of Palestine","male_18-59",644803,"male","18-59"
"11","2019","Palestinian","State of Palestine","male_60",108259,"male","60"
"12","2019","Palestinian","State of Palestine","male_total",1173250,"male","total"
"13","2019","Palestinian","State of Palestine","total",2319073,"total",""
"14","2019","Palestinian","State of Palestine","f_minor_all",400345,"f","minor_all"
"15","2019","Palestinian","State of Palestine","m_minor_all",420188,"m","minor_all"
"16","2019","Palestinian","Jordan","female_0-4",47592,"female","0-4"
"17","2019","Palestinian","Jordan","female_5-11",126915,"female","5-11"
"18","2019","Palestinian","Jordan","female_12-17",144368,"female","12-17"
"19","2019","Palestinian","Jordan","female_18-59",640378,"female","18-59"
"20","2019","Palestinian","Jordan","female_60",150618,"female","60"
"21","2019","Palestinian","Jordan","female_total",1109871,"female","total"
"22","2019","Palestinian","Jordan","male_0-4",51021,"male","0-4"
"23","2019","Palestinian","Jordan","male_5-11",132957,"male","5-11"
"24","2019","Palestinian","Jordan","male_12-17",149778,"male","12-17"
"25","2019","Palestinian","Jordan","male_18-59",673520,"male","18-59"
"26","2019","Palestinian","Jordan","male_60",155264,"male","60"
"27","2019","Palestinian","Jordan","male_total",1162540,"male","total"
"28","2019","Palestinian","Jordan","total",2272411,"total",""
"29","2019","Palestinian","Jordan","f_minor_all",318875,"f","minor_all"
"30","2019","Palestinian","Jordan","m_minor_all",333756,"m","minor_all"
"31","2019","Palestinian","Lebanon","female_0-4",12309,"female","0-4"
"32","2019","Palestinian","Lebanon","female_5-11",18911,"female","5-11"
"33","2019","Palestinian","Lebanon","female_12-17",24259,"female","12-17"
"34","2019","Palestinian","Lebanon","female_18-59",137889,"female","18-59"
"35","2019","Palestinian","Lebanon","female_60",41404,"female","60"
"36","2019","Palestinian","Lebanon","female_total",234772,"female","total"
"37","2019","Palestinian","Lebanon","male_0-4",13048,"male","0-4"
"38","2019","Palestinian","Lebanon","male_5-11",19420,"male","5-11"
"39","2019","Palestinian","Lebanon","male_12-17",25207,"male","12-17"
"40","2019","Palestinian","Lebanon","male_18-59",143734,"male","18-59"
"41","2019","Palestinian","Lebanon","male_60",39852,"male","60"
"42","2019","Palestinian","Lebanon","male_total",241261,"male","total"
"43","2019","Palestinian","Lebanon","total",476033,"total",""
"44","2019","Palestinian","Lebanon","f_minor_all",55479,"f","minor_all"
"45","2019","Palestinian","Lebanon","m_minor_all",57675,"m","minor_all"
"46","2019","Palestinian","Syrian Arab Rep.","female_0-4",20520,"female","0-4"
"47","2019","Palestinian","Syrian Arab Rep.","female_5-11",30683,"female","5-11"
"48","2019","Palestinian","Syrian Arab Rep.","female_12-17",32853,"female","12-17"
"49","2019","Palestinian","Syrian Arab Rep.","female_18-59",159376,"female","18-59"
"50","2019","Palestinian","Syrian Arab Rep.","female_60",37210,"female","60"
"51","2019","Palestinian","Syrian Arab Rep.","female_total",280642,"female","total"
"52","2019","Palestinian","Syrian Arab Rep.","male_0-4",21280,"male","0-4"
"53","2019","Palestinian","Syrian Arab Rep.","male_5-11",31736,"male","5-11"
"54","2019","Palestinian","Syrian Arab Rep.","male_12-17",34320,"male","12-17"
"55","2019","Palestinian","Syrian Arab Rep.","male_18-59",162031,"male","18-59"
"56","2019","Palestinian","Syrian Arab Rep.","male_60",32303,"male","60"
"57","2019","Palestinian","Syrian Arab Rep.","male_total",281670,"male","total"
"58","2019","Palestinian","Syrian Arab Rep.","total",562312,"total",""
"59","2019","Palestinian","Syrian Arab Rep.","f_minor_all",84056,"f","minor_all"
"60","2019","Palestinian","Syrian Arab Rep.","m_minor_all",87336,"m","minor_all"
"61","2020","Palestinian","State of Palestine","female_0-4",105194,"female","0-4"
"62","2020","Palestinian","State of Palestine","female_5-11",178746,"female","5-11"
"63","2020","Palestinian","State of Palestine","female_12-17",142191,"female","12-17"
"64","2020","Palestinian","State of Palestine","female_18-59",603306,"female","18-59"
"65","2020","Palestinian","State of Palestine","female_60",130714,"female","60"
"66","2020","Palestinian","State of Palestine","female_total",1160151,"female","total"
"67","2020","Palestinian","State of Palestine","male_0-4",112185,"male","0-4"
"68","2020","Palestinian","State of Palestine","male_5-11",188228,"male","5-11"
"69","2020","Palestinian","State of Palestine","male_12-17",148308,"male","12-17"
"70","2020","Palestinian","State of Palestine","male_18-59",625375,"male","18-59"
"71","2020","Palestinian","State of Palestine","male_60",113996,"male","60"
"72","2020","Palestinian","State of Palestine","male_total",1188092,"male","total"
"73","2020","Palestinian","State of Palestine","total",2348243,"total",""
"74","2020","Palestinian","State of Palestine","f_minor_all",426131,"f","minor_all"
"75","2020","Palestinian","State of Palestine","m_minor_all",448721,"m","minor_all"
"76","2020","Palestinian","Jordan","female_0-4",46782,"female","0-4"
"77","2020","Palestinian","Jordan","female_5-11",121108,"female","5-11"
"78","2020","Palestinian","Jordan","female_12-17",129893,"female","12-17"
"79","2020","Palestinian","Jordan","female_18-59",671495,"female","18-59"
"80","2020","Palestinian","Jordan","female_60",158059,"female","60"
"81","2020","Palestinian","Jordan","female_total",1127337,"female","total"
"82","2020","Palestinian","Jordan","male_0-4",49836,"male","0-4"
"83","2020","Palestinian","Jordan","male_5-11",127504,"male","5-11"
"84","2020","Palestinian","Jordan","male_12-17",135313,"male","12-17"
"85","2020","Palestinian","Jordan","male_18-59",704507,"male","18-59"
"86","2020","Palestinian","Jordan","male_60",162514,"male","60"
"87","2020","Palestinian","Jordan","male_total",1179674,"male","total"
"88","2020","Palestinian","Jordan","total",2307011,"total",""
"89","2020","Palestinian","Jordan","f_minor_all",297783,"f","minor_all"
"90","2020","Palestinian","Jordan","m_minor_all",312653,"m","minor_all"
"91","2020","Palestinian","Lebanon","female_0-4",11425,"female","0-4"
"92","2020","Palestinian","Lebanon","female_5-11",21548,"female","5-11"
"93","2020","Palestinian","Lebanon","female_12-17",18857,"female","12-17"
"94","2020","Palestinian","Lebanon","female_18-59",141078,"female","18-59"
"95","2020","Palestinian","Lebanon","female_60",43739,"female","60"
"96","2020","Palestinian","Lebanon","female_total",236647,"female","total"
"97","2020","Palestinian","Lebanon","male_0-4",11832,"male","0-4"
"98","2020","Palestinian","Lebanon","male_5-11",23037,"male","5-11"
"99","2020","Palestinian","Lebanon","male_12-17",19663,"male","12-17"
"100","2020","Palestinian","Lebanon","male_18-59",146259,"male","18-59"
"101","2020","Palestinian","Lebanon","male_60",42099,"male","60"
"102","2020","Palestinian","Lebanon","male_total",242890,"male","total"
"103","2020","Palestinian","Lebanon","total",479537,"total",""
"104","2020","Palestinian","Lebanon","f_minor_all",51830,"f","minor_all"
"105","2020","Palestinian","Lebanon","m_minor_all",54532,"m","minor_all"
"106","2020","Palestinian","Syrian Arab Rep.","female_0-4",19900,"female","0-4"
"107","2020","Palestinian","Syrian Arab Rep.","female_5-11",35730,"female","5-11"
"108","2020","Palestinian","Syrian Arab Rep.","female_12-17",31821,"female","12-17"
"109","2020","Palestinian","Syrian Arab Rep.","female_18-59",157326,"female","18-59"
"110","2020","Palestinian","Syrian Arab Rep.","female_60",39274,"female","60"
"111","2020","Palestinian","Syrian Arab Rep.","female_total",284051,"female","total"
"112","2020","Palestinian","Syrian Arab Rep.","male_0-4",20581,"male","0-4"
"113","2020","Palestinian","Syrian Arab Rep.","male_5-11",37719,"male","5-11"
"114","2020","Palestinian","Syrian Arab Rep.","male_12-17",32895,"male","12-17"
"115","2020","Palestinian","Syrian Arab Rep.","male_18-59",159475,"male","18-59"
"116","2020","Palestinian","Syrian Arab Rep.","male_60",34009,"male","60"
"117","2020","Palestinian","Syrian Arab Rep.","male_total",284679,"male","total"
"118","2020","Palestinian","Syrian Arab Rep.","total",568730,"total",""
"119","2020","Palestinian","Syrian Arab Rep.","f_minor_all",87451,"f","minor_all"
"120","2020","Palestinian","Syrian Arab Rep.","m_minor_all",91195,"m","minor_all"
"121","2021","Palestinian","State of Palestine","female_0-4",107629,"female","0-4"
"122","2021","Palestinian","State of Palestine","female_5-11",179459,"female","5-11"
"123","2021","Palestinian","State of Palestine","female_12-17",145814,"female","12-17"
"124","2021","Palestinian","State of Palestine","female_18-59",618362,"female","18-59"
"125","2021","Palestinian","State of Palestine","female_60",134165,"female","60"
"126","2021","Palestinian","State of Palestine","female_total",1185429,"female","total"
"127","2021","Palestinian","State of Palestine","male_0-4",115363,"male","0-4"
"128","2021","Palestinian","State of Palestine","male_5-11",189495,"male","5-11"
"129","2021","Palestinian","State of Palestine","male_12-17",151435,"male","12-17"
"130","2021","Palestinian","State of Palestine","male_18-59",640870,"male","18-59"
"131","2021","Palestinian","State of Palestine","male_60",117616,"male","60"
"132","2021","Palestinian","State of Palestine","male_total",1214779,"male","total"
"133","2021","Palestinian","State of Palestine","total",2400208,"total",""
