Year,Country of origin,Country of asylum,Total
1952,Palestinian,Jordan,472647
1952,Palestinian,Lebanon,103137
1952,Palestinian,Syrian Arab Rep.,85660
1952,Palestinian,State of Palestine,206014
1953,Palestinian,Jordan,479243
1953,Palestinian,Lebanon,100942
1953,Palestinian,Syrian Arab Rep.,85182
1953,Palestinian,State of Palestine,209229
1954,Palestinian,Jordan,493109
1954,Palestinian,Lebanon,102851
1954,Palestinian,Syrian Arab Rep.,86669
1954,Palestinian,State of Palestine,212620
1955,Palestinian,Jordan,505704
1955,Palestinian,Lebanon,101536
1955,Palestinian,Syrian Arab Rep.,88958
1955,Palestinian,State of Palestine,216227
1956,Palestinian,Jordan,511413
1956,Palestinian,Lebanon,103167
1956,Palestinian,Syrian Arab Rep.,90919
1956,Palestinian,State of Palestine,219423
1957,Palestinian,Jordan,534604
1957,Palestinian,Lebanon,108748
1957,Palestinian,Syrian Arab Rep.,97007
1957,Palestinian,State of Palestine,227427
1958,Palestinian,Jordan,586706
1958,Palestinian,Lebanon,129228
1958,Palestinian,Syrian Arab Rep.,109506
1958,Palestinian,State of Palestine,245343
1959,Palestinian,Jordan,604236
1959,Palestinian,Lebanon,134569
1959,Palestinian,Syrian Arab Rep.,112949
1959,Palestinian,State of Palestine,251976
1960,Palestinian,Jordan,623660
1960,Palestinian,Lebanon,137884
1960,Palestinian,Syrian Arab Rep.,116778
1960,Palestinian,State of Palestine,258165
1961,Palestinian,Jordan,633197
1961,Palestinian,Lebanon,142670
1961,Palestinian,Syrian Arab Rep.,120577
1961,Palestinian,State of Palestine,265430
1962,Palestinian,Jordan,644940
1962,Palestinian,Lebanon,146969
1962,Palestinian,Syrian Arab Rep.,124626
1962,Palestinian,State of Palestine,273038
1963,Palestinian,Jordan,662525
1963,Palestinian,Lebanon,152747
1963,Palestinian,Syrian Arab Rep.,129010
1963,Palestinian,State of Palestine,283782
1964,Palestinian,Jordan,678985
1964,Palestinian,Lebanon,157274
1964,Palestinian,Syrian Arab Rep.,133366
1964,Palestinian,State of Palestine,293024
1965,Palestinian,Jordan,697658
1965,Palestinian,Lebanon,162499
1965,Palestinian,Syrian Arab Rep.,138081
1965,Palestinian,State of Palestine,301879
1966,Palestinian,Jordan,714763
1966,Palestinian,Lebanon,161262
1966,Palestinian,Syrian Arab Rep.,142206
1966,Palestinian,State of Palestine,311846
1967,Palestinian,Jordan,668453
1967,Palestinian,Lebanon,122967
1967,Palestinian,Syrian Arab Rep.,127304
1967,Palestinian,State of Palestine,295040
1968,Palestinian,Jordan,478369
1968,Palestinian,Lebanon,168927
1968,Palestinian,Syrian Arab Rep.,151730
1968,Palestinian,State of Palestine,576889
1969,Palestinian,Jordan,499460
1969,Palestinian,Lebanon,173539
1969,Palestinian,Syrian Arab Rep.,156635
1969,Palestinian,State of Palestine,580025
1970,Palestinian,Jordan,520997
1970,Palestinian,Lebanon,177862
1970,Palestinian,Syrian Arab Rep.,160932
1970,Palestinian,State of Palestine,585231
1971,Palestinian,Jordan,542549
1971,Palestinian,Lebanon,181764
1971,Palestinian,Syrian Arab Rep.,166099
1971,Palestinian,State of Palestine,596684
1972,Palestinian,Jordan,557971
1972,Palestinian,Lebanon,185597
1972,Palestinian,Syrian Arab Rep.,171230
1972,Palestinian,State of Palestine,608237
1973,Palestinian,Jordan,582400
1973,Palestinian,Lebanon,189277
1973,Palestinian,Syrian Arab Rep.,175817
1973,Palestinian,State of Palestine,607485
1974,Palestinian,Jordan,607430
1974,Palestinian,Lebanon,192830
1974,Palestinian,Syrian Arab Rep.,179916
1974,Palestinian,State of Palestine,616545
1975,Palestinian,Jordan,636778
1975,Palestinian,Lebanon,197974
1975,Palestinian,Syrian Arab Rep.,186130
1975,Palestinian,State of Palestine,631554
1976,Palestinian,Jordan,653708
1976,Palestinian,Lebanon,199238
1976,Palestinian,Syrian Arab Rep.,189902
1976,Palestinian,State of Palestine,641403
1977,Palestinian,Jordan,672301
1977,Palestinian,Lebanon,206521
1977,Palestinian,Syrian Arab Rep.,195517
1977,Palestinian,State of Palestine,656181
1978,Palestinian,Jordan,690298
1978,Palestinian,Lebanon,215248
1978,Palestinian,Syrian Arab Rep.,200605
1978,Palestinian,State of Palestine,672664
1979,Palestinian,Jordan,706625
1979,Palestinian,Lebanon,223470
1979,Palestinian,Syrian Arab Rep.,206045
1979,Palestinian,State of Palestine,685793
1980,Palestinian,Jordan,723551
1980,Palestinian,Lebanon,230105
1980,Palestinian,Syrian Arab Rep.,212053
1980,Palestinian,State of Palestine,697453
1981,Palestinian,Jordan,736920
1981,Palestinian,Lebanon,233881
1981,Palestinian,Syrian Arab Rep.,216351
1981,Palestinian,State of Palestine,707689
1982,Palestinian,Jordan,756487
1982,Palestinian,Lebanon,239217
1982,Palestinian,Syrian Arab Rep.,223122
